개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3200000,3200000-102-2001-10867,2001-04-07,,1,영업/정상,1,영업,,,,,02 8745637,66.81,151-892,서울특별시 관악구 신림동 1433-109,서울특별시 관악구 신림로65길 47 (신림동),8759,피아노,2025-03-25 16:22,U,07:00.0,룸살롱,193465.7061,442500.7107,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2016-00005,2016-09-05,,1,영업/정상,1,영업,,,,,02 8827331,53.44,151-930,서울특별시 관악구 신림동 1641-11 지하1층,서울특별시 관악구 신림로 322-3 (신림동),8777,라운딩,2025-03-31 15:25,U,02:00.0,룸살롱,193758.6726,442324.492,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2015-00002,2015-10-05,,1,영업/정상,1,영업,,,,,,97,157-910,서울특별시 강서구 화곡동 936-4 지하 1층,"서울특별시 강서구 강서로7길 136, 지하 1층 (화곡동)",7775,명품노래바,2025-03-31 10:22,U,02:00.0,룸살롱,185799.5271,447417.8899,,,,,,,,,,,,,,,,,,,
3230000,3230000-102-2012-00002,2012-12-05,,1,영업/정상,1,영업,,,,,4305612,44.45,138-805,서울특별시 송파구 가락동 98-7 (지하1층),"서울특별시 송파구 송파대로28길 13 (가락동,(지하1층))",5719,거북이 유흥주점,2025-04-16 15:12,U,08:00.0,룸살롱,210491.3219,443569.7632,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2023-00005,2023-05-19,,1,영업/정상,1,영업,,,,,,85.5,157-910,서울특별시 강서구 화곡동 936-3 골든빌딩 4층,"서울특별시 강서구 곰달래로16길 26, 골든빌딩 4층 (화곡동)",7775,콜미노래타운,2025-04-18 14:38,U,00:00.0,룸살롱,185799.4196,447429.6748,,,,,,,,,,,,,,,,,,,
3050000,3050000-102-1971-08462,1971-02-12,,1,영업/정상,1,영업,,,,,222265470,121.38,130-854,서울특별시 동대문구 전농동 295-307,서울특별시 동대문구 전농로16길 12 (전농동),2506,하트,2025-07-01 12:23,U,03:00.0,비어(바)살롱,205044.4058,452884.2122,,,,,,,,,,,,,,,,,,,
3210000,3210000-102-1992-06376,1992-01-30,,1,영업/정상,1,영업,,,,,02587 8883,440.48,137-858,서울특별시 서초구 서초동 1330-15,서울특별시 서초구 서초대로78길 46 (서초동),6626,B11 (비일일),2025-03-05 16:05,U,07:00.0,룸살롱,202453.7135,443491.2009,,,,,,,,,,,,,,,,,,,
3180000,3180000-102-2001-14141,2001-12-22,,1,영업/정상,1,영업,,,,,26788126,91.35,150-033,서울특별시 영등포구 영등포동3가 13-13,"서울특별시 영등포구 영등포로50길 7-1, 지하1층 (영등포동3가)",7303,열창노래광,2025-04-21 11:05,U,03:00.0,룸살롱,191923.8521,446217.53,,,,,,,,,,,,,,,,,,,
3230000,3230000-102-2015-00001,2015-03-31,,1,영업/정상,1,영업,,,,,,114.79,138-803,서울특별시 송파구 가락동 79-4 세화빌딩,"서울특별시 송파구 송파대로28길 20, 2층 201호 (가락동)",5718,마우이(maui),2025-12-17 10:14,U,09:00.0,룸살롱,210562.9008,443555.8647,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2015-00003,2015-10-22,,1,영업/정상,1,영업,,,,,226993777,121.44,157-909,서울특별시 강서구 화곡동 903-10 2층,"서울특별시 강서구 곰달래로24길 27, 2층 (화곡동)",7778,에스노래바,2025-06-20 16:36,U,04:00.0,룸살롱,186437.39,447472.6707,,,,,,,,,,,,,,,,,,,
3180000,3180000-102-2025-00001,2025-09-22,,1,영업/정상,1,영업,,,,,,90.28,150-034,서울특별시 영등포구 영등포동4가 432-18 시온빌딩 지하1층,"서울특별시 영등포구 영중로3길 3, 시온빌딩 지하1층 (영등포동4가)",7305,뉴 신세계 노래바,2025-09-22 9:52,I,04:00.0,룸살롱,191619.2314,446072.4869,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2016-00006,2016-09-01,,1,영업/정상,1,영업,,,,,,502.65,135-513,서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티 ,"서울특별시 강남구 언주로 506, 역삼 아르누보씨티 지하1층 101호 (역삼동)",6152,더,2023-03-22 15:49,U,40:00.0,룸살롱,203716.9381,444579.034,룸살롱,0,0,,,,0,0,0,0,0,,0,0,N,502.65,,,
3190000,3190000-102-2017-00001,2017-08-04,,3,폐업,2,폐업,2025-03-06,,,,02586 1068,183.99,156-816,서울특별시 동작구 사당동 147-48,"서울특별시 동작구 사당로 308, 지하1층 (사당동)",,놀이터,2025-03-06 16:47,U,08:00.0,노래클럽,198296.909,442527.8829,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2002-00015,2002-10-24,,1,영업/정상,1,영업,,,,,02 877 1320,81.54,151-809,서울특별시 관악구 봉천동 62-3 지하 1층,"서울특별시 관악구 관악로 206 (봉천동,지하 1층)",8737,도레미노래뱅크,2025-03-06 14:29,U,08:00.0,룸살롱,195907.7682,442331.4168,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2001-11339,2001-11-01,,1,영업/정상,1,영업,,,,,02  877 0166,71.86,151-892,서울특별시 관악구 신림동 1431-10 화산빌딩,"서울특별시 관악구 신림로 363-1, 화산빌딩 지하1층 (신림동)",8760,레몬노래빠,2025-11-11 17:04,U,03:00.0,룸살롱,193646.5607,442722.6122,,,,,,,,,,,,,,,,,,,
3240000,3240000-102-1999-10594,1999-05-15,,1,영업/정상,1,영업,,,,,02 4872184,360.07,134-814,서울특별시 강동구 길동 412-12 부에노빌딩,"서울특별시 강동구 양재대로 1457, 부에노빌딩 2층 (길동)",5353,무지개,2025-08-26 15:39,U,08:00.0,룸살롱,212215.3783,448196.8547,,,,,,,,,,,,,,,,,,,
3240000,3240000-102-1990-05556,1990-05-22,,1,영업/정상,1,영업,,,,,02 4864214,284.35,134-845,서울특별시 강동구 성내동 417-5,서울특별시 강동구 풍성로 210 (성내동),5404,발리7080라이브,2025-03-06 14:38,U,08:00.0,비어(바)살롱,211855.0418,447431.5868,,,,,,,,,,,,,,,,,,,
3120000,3120000-102-2011-00001,2011-05-11,,1,영업/정상,1,영업,,,,,02  354 6979,233.85,120-833,서울특별시 서대문구 창천동 29-30 용성빌딩 4층 전체 외 1필지(29-111),"서울특별시 서대문구 연세로4길 12, 용성빌딩 4층 (창천동)",3779,연인노래타운,2025-03-19 15:10,U,02:00.0,기타,194441.0658,450526.8653,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2023-00001,2023-03-07,,1,영업/정상,1,영업,,,,,,94.22,157-909,서울특별시 강서구 화곡동 902-10 2층,"서울특별시 강서구 강서로7길 19, 2층 (화곡동)",7777,휴노래바,2025-04-21 11:37,U,03:00.0,룸살롱,186380.6346,447481.2101,,,,,,,,,,,,,,,,,,,
3110000,3110000-102-2018-00002,2018-02-01,,1,영업/정상,1,영업,,,,,,70.78,122-808,서울특별시 은평구 갈현동 395-15 지하1층,"서울특별시 은평구 통일로 863-20, 지하1층 (갈현동)",3330,썸노래밤,2025-04-24 15:23,U,06:00.0,룸살롱,192821.2134,457558.008,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2001-07838,2001-03-03,,3,폐업,2,폐업,2025-04-28,,,,28899913,90.19,151-830,서울특별시 관악구 봉천동 971-14,"서울특별시 관악구 봉천로 239, 지하1층 (봉천동)",8722,딸기 노래룸,2025-04-28 9:13,U,00:00.0,룸살롱,193595.0709,443043.5504,,,,,,,,,,,,,,,,,,,
3100000,3100000-102-1999-05994,1999-04-16,,3,폐업,2,폐업,2025-04-28,,,,02 9361658,364.58,139-832,서울특별시 노원구 상계동 728-1 지하1층,"서울특별시 노원구 동일로 1396 (상계동,지하1층)",1751,뉴캐슬,2025-04-28 10:01,U,00:00.0,룸살롱,205341.2345,461208.9867,,,,,,,,,,,,,,,,,,,
3210000,3210000-102-2003-00003,2003-07-29,,3,폐업,2,폐업,2025-05-16,,,,02  585 1835,433.62,137-953,서울특별시 서초구 서초동 1600-3 (지하1층),"서울특별시 서초구 서초중앙로 53 (서초동,(지하1층))",6654,신세계노래팡,2025-05-16 14:20,U,08:00.0,룸살롱,201254.9308,442705.7945,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-1987-00774,1987-01-28,,3,폐업,2,폐업,2025-05-07,,,,236604000,1008,157-862,서울특별시 강서구 염창동 259-2 나이아가라호텔 지하 3층,"서울특별시 강서구 양천로 743, 지하 3층 (염창동, 나이아가라호텔)",7539,마이히어로,2025-05-12 11:31,U,04:00.0,룸살롱,189200.1477,449654.951,,,,,,,,,,,,,,,,,,,
3130000,3130000-102-2025-00001,2025-05-02,,1,영업/정상,1,영업,,,,,,196,121-838,서울특별시 마포구 서교동 354-19 지하1층,"서울특별시 마포구 양화로 124, 지하1층 (서교동)",4038,나인,2025-05-02 10:59,I,04:00.0,룸살롱,192937.4261,450226.2105,,,,,,,,,,,,,,,,,,,
3140000,3140000-102-1999-06935,1999-06-07,,3,폐업,2,폐업,2025-05-08,,,,226532991,105.33,158-050,서울특별시 양천구 목동 923 세신비젼프라자 3층 306~309호,"서울특별시 양천구 목동서로 213, 세신비젼프라자 3층 306~309호 (목동)",7995,캉캉노래바,2025-05-08 16:07,U,00:00.0,룸살롱,188494.599,447318.6605,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2019-00010,2019-10-25,,3,폐업,2,폐업,2025-05-13,,,,,180.43,135-513,서울특별시 강남구 역삼동 702-24,"서울특별시 강남구 선릉로93길 31, 지상1층 (역삼동)",6151,벤자민,2025-05-13 12:52,U,05:00.0,룸살롱,204013.484,444693.0005,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2025-00001,2025-05-19,,1,영업/정상,1,영업,,,,,02  69587729,435.53,151-890,서울특별시 관악구 신림동 1421-29 에스케이허브그린,"서울특별시 관악구 신림로 344, 에스케이허브그린 지하1층 2호 (신림동)",8754,뉴코노래타운 신림점,2025-05-19 13:07,I,01:00.0,룸살롱,193735.8297,442552.9229,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2017-00001,2017-05-08,,1,영업/정상,1,영업,,,,,,504.13,135-918,"서울특별시 강남구 역삼동 677-20 4,5층","서울특별시 강남구 테헤란로33길 6-7, 4,5층 (역삼동)",6142,하모니,2025-05-19 15:46,U,01:00.0,룸살롱,203475.825,444490.505,,,,,,,,,,,,,,,,,,,
3210000,3210000-102-2004-00002,2004-07-19,,1,영업/정상,1,영업,,,,,02 5851835,274.15,137-876,서울특별시 서초구 서초동 1588-1 지하1층,"서울특별시 서초구 반포대로14길 54, 지하1층 (서초동)",6654,신세계,2025-07-04 17:48,U,06:00.0,룸살롱,201153.5436,442643.2808,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2006-00005,2006-06-08,,1,영업/정상,1,영업,,,,,,705.24,135-839,"서울특별시 강남구 대치동 890-61 지하1,2층","서울특별시 강남구 테헤란로68길 13 (대치동,지하1,2층)",6193,유니콘2,2025-06-23 13:40,U,05:00.0,룸살롱,204579.5953,444698.3933,,,,,,,,,,,,,,,,,,,
3090000,3090000-102-2025-00001,2025-05-14,,1,영업/정상,1,영업,,,,,,530.9,132-898,서울특별시 도봉구 창동 12-1,"서울특별시 도봉구 노해로69길 21-11, 201호, 202호, 203호, 204호 (창동)",1414,산토끼노래타운,2025-05-14 17:08,I,06:00.0,노래클럽,204348.91,461195.825,,,,,,,,,,,,,,,,,,,
3240000,3240000-102-2006-00005,2006-05-29,,1,영업/정상,1,영업,,,,,02 4709799,97.05,134-871,서울특별시 강동구 천호동 550-7,서울특별시 강동구 진황도로 3 (천호동),5334,제니아노래광장,2025-05-19 16:28,U,01:00.0,비어(바)살롱,211266.4787,448675.5203,,,,,,,,,,,,,,,,,,,
3020000,3020000-102-2016-00001,2016-10-26,,1,영업/정상,1,영업,,,,,,985.05,140-893,서울특별시 용산구 한남동 737-25 지하1층,"서울특별시 용산구 이태원로 221, 지하1층 (한남동, 임피리얼팰리스 부티크호텔)",4349,스타디움(STARDIUM),2025-05-29 15:18,U,01:00.0,관광호텔나이트(디스코),199774.4717,448110.5665,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2012-00001,2012-03-13,,1,영업/정상,1,영업,,,,,02  888 6002,60.9,151-892,서울특별시 관악구 신림동 1431-7 2층호,"서울특별시 관악구 신림로 365, 2층호 (신림동)",8760,초이스,2025-05-29 16:42,U,01:00.0,룸살롱,193637.4513,442741.1106,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2000-10195,2000-03-17,,1,영업/정상,1,영업,,,,,02 5254196,96.25,151-800,서울특별시 관악구 남현동 1061-22,"서울특별시 관악구 과천대로 945, 지하1층 (남현동)",8807,하이 노래밤,2025-05-29 15:19,U,01:00.0,룸살롱,198284.4874,441422.5475,,,,,,,,,,,,,,,,,,,
3080000,3080000-102-2008-00007,2008-08-29,,1,영업/정상,1,영업,,,,,02  991 8885,88.9,142-878,서울특별시 강북구 수유동 230-13 지하1층,"서울특별시 강북구 도봉로 317 (수유동,지하1층)",1073,스머프,2025-06-24 11:22,U,06:00.0,간이주점,202039.0419,459387.4586,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2002-00013,2002-03-22,,3,폐업,2,폐업,2025-06-25,,,,,310.2,135-957,서울특별시 강남구 청담동 125-16 2층,"서울특별시 강남구 도산대로 535, 2층 (청담동)",6013,베이직,2025-06-25 15:27,U,07:00.0,룸살롱,204526.0821,446991.1995,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2025-00002,2025-09-24,,1,영업/정상,1,영업,,,,,,86.65,151-930,서울특별시 관악구 신림동 1638-24,"서울특별시 관악구 신림로59길 7, 지하1층 가호 (신림동)",8776,파이프,2025-09-24 9:50,I,06:00.0,간이주점,193676.7634,442304.4622,,,,,,,,,,,,,,,,,,,
3000000,3000000-102-2006-00004,2006-03-27,,1,영업/정상,1,영업,,,,,,95.7,110-842,서울특별시 종로구 창신동 438-14 외1필지 지하1층,"서울특별시 종로구 종로46길 33 (창신동,외1필지 지하1층)",3119,히든싱어2,2025-11-22 15:30,U,04:00.0,룸살롱,200831.7863,451988.8294,,,,,,,,,,,,,,,,,,,
3240000,3240000-102-2011-00005,2011-03-03,,1,영업/정상,1,영업,,,,,02   4743384,88.09,134-814,서울특별시 강동구 길동 413-13,서울특별시 강동구 진황도로 103 (길동),5353,체르니,2025-05-15 11:50,U,07:00.0,룸살롱,212117.2069,448171.4004,,,,,,,,,,,,,,,,,,,
3010000,3010000-102-1987-02498,1987-01-16,,3,폐업,2,폐업,2025-05-15,,,,222854500,447.74,100-195,서울특별시 중구 을지로5가 133-1,서울특별시 중구 을지로38길 20 (을지로5가),4561,소피아,2025-05-15 15:41,U,07:00.0,룸살롱,200225.9831,451511.2628,,,,,,,,,,,,,,,,,,,
3000000,3000000-102-2011-00008,2011-05-19,,1,영업/정상,1,영업,,,,,,44.68,110-850,서울특별시 종로구 효제동 185 (지상1층),"서울특별시 종로구 대학로2길 41 (효제동,(지상1층))",3126,서편제,2025-10-27 11:59,U,09:00.0,요정,200322.8756,452140.2434,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2015-00003,2015-07-31,,1,영업/정상,1,영업,,,,,,817.77,135-932,서울특별시 강남구 역삼동 819-9 ,"서울특별시 강남구 강남대로92길 13, 지하1.2층 (역삼동)",6134,Alvin Avenue(엘빈 에비뉴),2023-01-18 15:28,U,40:00.0,기타,202451.743,444092.8755,기타,0,0,,,,0,0,0,0,0,,0,0,Y,817.77,,,
3200000,3200000-102-2000-10106,2000-02-03,,1,영업/정상,1,영업,,,,,,73.08,151-892,서울특별시 관악구 신림동 1432-77,서울특별시 관악구 신림로 355 (신림동),8760,자몽노래크럽,2025-05-20 13:04,U,02:00.0,룸살롱,193668.1369,442651.5605,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2010-00007,2010-10-08,,1,영업/정상,1,영업,,,,,02  877 9705,58.06,151-890,서울특별시 관악구 신림동 1424-11,"서울특별시 관악구 신림로 356, 3층 2호 (신림동)",8754,세븐노래,2025-05-21 14:46,U,03:00.0,룸살롱,193715.7209,442661.6006,,,,,,,,,,,,,,,,,,,
3090000,3090000-102-2007-00004,2007-12-20,,1,영업/정상,1,영업,,,,,02  991 1808,93.75,132-898,서울특별시 도봉구 창동 13,"서울특별시 도봉구 마들로11길 65, 지하1층 1호 (창동, 유진빌딩)",1414,아레나,2025-05-21 15:06,U,03:00.0,룸살롱,204317.2649,461224.0141,,,,,,,,,,,,,,,,,,,
3230000,3230000-102-2016-00001,2016-06-27,,1,영업/정상,1,영업,,,,,,61.2,138-805,서울특별시 송파구 가락동 98-7 지하1층 106-1,"서울특별시 송파구 송파대로28길 13 (가락동, 지하1층 106-1호)",5719,럭셔리노래바,2025-05-22 9:10,U,04:00.0,룸살롱,210491.3219,443569.7632,,,,,,,,,,,,,,,,,,,
3190000,3190000-102-2001-08243,2001-06-15,,1,영업/정상,1,영업,,,,,,99.1,156-800,서울특별시 동작구 노량진동 29-6,"서울특별시 동작구 노량진로 86-1, 지하층 (노량진동)",6927,세시봉7080,2025-05-22 15:28,U,04:00.0,룸살롱,194227.0778,445643.7212,,,,,,,,,,,,,,,,,,,
3180000,3180000-102-2024-00001,2024-02-06,,1,영업/정상,1,영업,,,,,,231.03,150-890,서울특별시 영등포구 여의도동 44-24,"서울특별시 영등포구 여의대방로65길 20, 호성빌딩 지하2층 202호 (여의도동)",7333,여의도 클라스,2025-05-27 17:17,U,09:00.0,노래클럽,193694.665,446449.5462,,,,,,,,,,,,,,,,,,,
3240000,3240000-102-2009-00001,2009-01-21,,1,영업/정상,1,영업,,,,,02  470 0442,288.99,134-814,서울특별시 강동구 길동 459-2 중부빌딩 3층 301호,"서울특별시 강동구 천호대로 1135 (길동,중부빌딩 3층 301호)",5355,준코뮤직타운,2025-06-04 10:37,U,06:00.0,간이주점,212111.3368,448059.842,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2015-00004,2015-08-03,,1,영업/정상,1,영업,,,,,,173.24,135-821,서울특별시 강남구 논현동 115-12번지 지하1층 ,"서울특별시 강남구 언주로 706, 지하1층 (논현동)",6061,랩(LAB),2020-05-25 12:32,U,40:00.0,룸살롱,203085.6753,445978.5599,룸살롱,,,기타,,상수도전용,,,,,,,,,N,173.24,,,
3080000,3080000-102-2024-00004,2024-11-19,,1,영업/정상,1,영업,,,,,,99.11,142-867,서울특별시 강북구 번동 446-24 홍승빌딩,"서울특별시 강북구 도봉로 332, 홍승빌딩 지하1층 (번동)",1062,다이아,2025-05-30 9:24,U,01:00.0,기타,202177.7493,459450.651,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2008-00013,2008-08-20,,1,영업/정상,1,영업,,,,,02 5019894,338.63,135-936,서울특별시 강남구 역삼동 831-24,서울특별시 강남구 강남대로78길 12 (역삼동),6242,준코뮤직타운 역삼점,2025-06-05 11:17,U,08:00.0,룸살롱,202614.8616,443629.0234,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-1987-07740,1987-03-27,,1,영업/정상,1,영업,,,,,02  877 1243,542.17,151-930,서울특별시 관악구 신림동 1640-31,서울특별시 관악구 신림로59길 14 (신림동),8776,준코뮤직타운 신림2호점,2025-06-05 15:04,U,08:00.0,고고(디스코)클럽,193630.4886,442347.333,,,,,,,,,,,,,,,,,,,
3210000,3210000-102-1982-06402,1982-08-17,,1,영업/정상,1,영업,,,,,,142.06,137-809,서울특별시 서초구 반포동 722-37 지층,"서울특별시 서초구 강남대로 521, 지층 (반포동)",6536,곰노래바,2025-06-05 12:03,U,08:00.0,룸살롱,201880.6166,445153.6924,,,,,,,,,,,,,,,,,,,
3230000,3230000-102-2016-00006,2016-08-29,,1,영업/정상,1,영업,,,,,02  430 8928,164.85,138-803,서울특별시 송파구 가락동 79-4,"서울특별시 송파구 송파대로28길 20, 지하1층 114-1,2호 (가락동)",5718,바나나,2025-06-09 14:23,U,02:00.0,기타,210562.9008,443555.8647,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-1979-07811,1979-07-14,,1,영업/정상,1,영업,,,,,02 8777295,77.67,151-891,서울특별시 관악구 신림동 1429-16,서울특별시 관악구 신림로 387 (신림동),8707,여우,2025-06-30 15:51,U,02:00.0,룸살롱,193567.2553,442940.9022,,,,,,,,,,,,,,,,,,,
3180000,3180000-102-2001-14146,2001-07-31,,1,영업/정상,1,영업,,,,,226784301,98.74,150-033,서울특별시 영등포구 영등포동3가 21-13,서울특별시 영등포구 영중로4길 15-5 (영등포동3가),7304,애플,2025-07-21 9:33,U,03:00.0,룸살롱,191789.1311,446166.2157,,,,,,,,,,,,,,,,,,,
3230000,3230000-102-2024-00001,2024-11-25,,1,영업/정상,1,영업,,,,,,130,138-805,서울특별시 송파구 가락동 98-2 훼밀리오피스텔,"서울특별시 송파구 송파대로30길 8, 훼밀리오피스텔 지하1층 (가락동)",5719,세비앙,2025-07-23 9:07,U,05:00.0,룸살롱,210403.8253,443562.7531,,,,,,,,,,,,,,,,,,,
3010000,3010000-102-2025-00003,2025-10-16,,1,영업/정상,1,영업,,,,,,46.28,100-013,서울특별시 중구 충무로3가 24-5,"서울특별시 중구 수표로6길 11, 2층 (충무로3가)",4555,골드 노래방,2025-11-18 16:27,U,00:00.0,기타,199143.472,451193.9909,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2009-00003,2009-02-16,,1,영업/정상,1,영업,,,,,02  558 5835,321.99,135-934,서울특별시 강남구 역삼동 824-7 지상3층,"서울특별시 강남구 테헤란로6길 10 (역삼동,지상3층)",6233,도깨비,2025-07-30 14:21,U,01:00.0,룸살롱,202621.0869,443960.2502,,,,,,,,,,,,,,,,,,,
3150000,3150000-102-2017-00007,2017-08-25,,1,영업/정상,1,영업,,,,,,64.98,157-210,서울특별시 강서구 마곡동 795-6 뉴골든타워 6층 601호,"서울특별시 강서구 마곡중앙6로 89, 6층 601호 (마곡동, 가양 1동 뉴골든타워)",7803,클래스,2025-08-28 10:15,U,00:00.0,룸살롱,185554.2994,450891.3124,,,,,,,,,,,,,,,,,,,
3240000,3240000-102-1980-05528,1980-07-01,,1,영업/정상,1,영업,,,,,,95.76,134-859,서울특별시 강동구 암사동 496-17,"서울특별시 강동구 상암로11길 4, 1층 (암사동)",5264,보스노래밤,2025-09-10 15:55,U,02:00.0,룸살롱,211315.842,449745.4689,,,,,,,,,,,,,,,,,,,
3010000,3010000-102-2025-00001,2025-08-12,,1,영업/정상,1,영업,,,,,,179.57,100-846,서울특별시 중구 을지로3가 95-4,"서울특별시 중구 충무로9길 12, 지하1층 (을지로3가)",4543,부(BOO),2025-08-12 15:33,I,04:00.0,기타,199207.0019,451638.4254,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2025-00002,2025-10-30,,1,영업/정상,1,영업,,,,,,96.84,135-936,서울특별시 강남구 역삼동 832-7 황화빌딩,"서울특별시 강남구 강남대로 320, 황화빌딩 지하2층 (역삼동)",6252,세븐,2025-10-31 9:47,I,02:00.0,룸살롱,202667.5512,443299.2181,,,,,,,,,,,,,,,,,,,
